State,Month,Day_of_Week,Time_of_Day,Weather_Conditions,Road_Conditions,Light_Conditions,Type_of_Road,Death By Road Type,Type_of_Junction,Type_of_Accident,Vehicle_Type,Death By Vehicle Type,Driver_Age_Group,Num_Vehicles_Involved,Category_Of_Num_Vehicles,Total_Death_Crashes_By_Category,Num_Casualties,Speed_Limit,Distance_to_Nearest_Hospital,Distance_to_Nearest_Police_Station,Visibility,Road_Width,Road_Surface_Friction_Coefficient,Vehicle_Speed,Time_Taken_for_Emergency_Response,Speeding_Violation,Speeding_Factor,Hospital_Distance_Range,Population,"Deaths per 100,000 population",Deaths Due To Alcohol Involvement,Percentage Of Seat Belt Usage,Deaths With Seat Belt,Deaths Without Seat Belt
Mississippi,1,Sunday,07:32:40,Stormy,Dry,Daylight,Urban,205,Roundabout,Pedestrian involved,Car,282,Senior,5,Multiple-vehicle,308,3.0,60.0,2.367180982,4.693521433,599.612414,7.681277003,0.472222286,99.0,17.70155721126476,True,1.65,0-3 km,2940057,23.9,17,79,227,200
Kentucky,2,Friday,00:03:48,Rainy,Muddy,Night,Rural,487,Overpass,Head-on collision,Car,264,Senior,1,Single-vehicle,408,2.0,69.0,8.736588103,1.522121463,481.000975,8.71380414,0.986783758,17.0,14.49595766,False,0.2463768115942029,6-10 km,4512310,16.5,275,87,230,256
Arkansas,2,Wednesday,01:26:56,Foggy,Wet,Night,Urban,284,Roundabout,Cyclist involved,Pedestrian,79,Teenager,4,Multiple-vehicle,317,0.0,55.0,3.55910212,4.809709769,812.96901,6.965542843,0.148655384,17.0,27.49310305,False,0.3090909090909091,3-6 km,3045637,21.1,237,79,165,191
Montana,2,Monday,13:13:41,Stormy,Muddy,Daylight,Rural,168,Underpass,Pedestrian involved,Pedestrian,18,Teenager,2,Multiple-vehicle,91,3.0,60.0,7.663051068,4.422926077,152.259536,6.587029325,0.764783468,17.0,11.39792174,False,0.2833333333333333,6-10 km,1122867,19.0,97,93,52,85
Maine,1,Friday,18:26:19,Snowy,Wet,Dusk,Urban,27,Intersection,Cyclist involved,Car,68,Senior,2,Multiple-vehicle,73,0.0,47.0,5.793438742,1.567227325,678.3847128,5.058004884,0.989207549,91.0,26.83425621,True,1.9361702127659572,3-6 km,1385340,13.1,82,93,58,65
Delaware,1,Sunday,03:39:09,Rainy,Dry,Night,Street,0,T-Junction,Head-on collision,Motorcycle,22,Young Adult,3,Multiple-vehicle,95,0.0,34.0,2.168712432,4.345146596,984.1118603,9.609773442,0.492093723,49.0,19.12780044,True,1.4411764705882353,0-3 km,1018396,15.9,46,90,61,36
Kansas,2,Friday,13:50:07,Foggy,Snowy,Daylight,Rural,245,Roundabout,Run-off-road,Motorcycle,53,Teenager,4,Multiple-vehicle,190,3.0,52.0,9.054331241,1.039981793,860.1258073,9.598409164,0.658893876,34.0,25.38372422,False,0.6538461538461539,6-10 km,2937150,14.0,116,87,114,148
Illinois,2,Sunday,22:37:49,Stormy,Wet,Night,Freeway,8,Roundabout,Run-off-road,Bicycle,31,Teenager,2,Multiple-vehicle,647,0.0,58.0,6.422035194,5.904799918,697.835835,4.347311652,0.537299312,68.0,29.58589454,False,1.1724137931034482,6-10 km,12582032,10.1,367,93,339,276
North Dakota,2,Sunday,07:53:13,Rainy,Dry,Daylight,Urban,16,Crossroads,Pedestrian involved,Car,13,Teenager,2,Multiple-vehicle,55,2.0,58.0,7.742511715,7.184033701,271.276714,6.318973999,0.244799649,90.0,28.29651417,False,1.5517241379310345,6-10 km,779261,12.6,41,81,13,41
Pennsylvania,1,Thursday,19:35:14,Stormy,Wet,Night,Urban,689,T-Junction,Cyclist involved,Pedestrian,179,Teenager,2,Multiple-vehicle,575,3.0,59.0,5.366589693,8.843233141,290.5028481,8.958598415,0.242534387,39.0,29.64646374,False,0.6610169491525424,3-6 km,12972008,9.1,320,90,263,342
Utah,1,Monday,08:01:21,Stormy,Wet,Daylight,Urban,206,Roundabout,Run-off-road,Pedestrian,45,Teenager,4,Multiple-vehicle,139,0.0,56.0,4.755384734,3.790088457,827.7488278,6.374933559,0.338436272,43.0,12.89563265,False,0.7678571428571429,3-6 km,3380800,9.4,117,90,80,87
Maryland,1,Monday,02:52:00,Rainy,Snowy,Night,Freeway,7,Crossroads,Run-off-road,Car,211,Senior,4,Multiple-vehicle,274,3.0,64.0,3.538779573,4.209539882,329.9213335,9.672297224,0.68790578,53.0,18.20655627,False,0.828125,3-6 km,6164660,9.1,208,93,154,150
Minnesota,2,Monday,13:47:03,Rainy,Muddy,Daylight,Street,3,Roundabout,Run-off-road,Truck,7,Young Adult,4,Multiple-vehicle,224,1.0,33.0,3.874341808,5.908982435,769.7192713,8.480209561,0.694210971,71.0,9.000628722,True,2.1515151515151514,3-6 km,5717184,7.8,160,93,154,80
Mississippi,2,Sunday,01:22:17,Snowy,Snowy,Night,Highway,28,Intersection,Cyclist involved,Bicycle,17,Young Adult,3,Multiple-vehicle,308,0.0,70.0,9.349842398,8.851420482,764.0504133,7.87393323,0.976064335,97.0,11.59267719,True,1.3857142857142857,6-10 km,2940057,23.9,17,79,227,200
Kansas,1,Friday,12:30:08,Foggy,Snowy,Daylight,Freeway,1,T-Junction,Head-on collision,Car,140,Teenager,2,Multiple-vehicle,190,3.0,42.0,7.069506406,6.17517235,874.5814717,6.254066763,0.601879621,64.0,7.509461098,True,1.5238095238095235,6-10 km,2937150,14.0,116,87,114,148
Rhode Island,2,Thursday,01:24:32,Sunny,Icy,Night,Highway,1,T-Junction,Rear-end collision,Pedestrian,7,Adult,2,Multiple-vehicle,15,0.0,59.0,4.343910999,6.639744478,539.565396,7.471562227,0.18083746,72.0,24.5998875,True,1.2203389830508475,3-6 km,1093734,4.8,22,87,14,19
Iowa,2,Saturday,06:17:02,Sunny,Dry,Daylight,Highway,2,T-Junction,Head-on collision,Car,121,Teenager,4,Multiple-vehicle,164,0.0,53.0,2.417022162,7.245963707,345.0892007,5.766243391,0.25635565,53.0,6.554818719,False,1.0,0-3 km,3200517,10.6,92,96,107,104
Maine,2,Tuesday,22:48:30,Sunny,Dry,Night,Rural,153,Overpass,Rear-end collision,Truck,1,Young Adult,4,Multiple-vehicle,73,0.0,67.0,7.66650732,6.892626522,129.8598903,6.69388715,0.689316708,77.0,8.423234891,True,1.1492537313432836,6-10 km,1385340,13.1,82,93,58,65
Illinois,1,Tuesday,23:41:12,Rainy,Icy,Night,Highway,8,Intersection,Run-off-road,Truck,26,Young Adult,1,Single-vehicle,621,1.0,43.0,4.622233451,7.91648194,216.5163379,5.789751622,0.785443618,81.0,21.54446952,True,1.8837209302325584,3-6 km,12582032,10.1,367,93,339,276
Kentucky,1,Thursday,14:31:10,Sunny,Muddy,Daylight,Freeway,1,Roundabout,Head-on collision,Motorcycle,105,Senior,5,Multiple-vehicle,336,2.0,35.0,5.742484247,1.385170918,689.518012,5.789751622,0.20764635,2.0,20.82246873,False,0.0571428571428571,3-6 km,4512310,16.5,275,87,230,256
Indiana,2,Saturday,15:20:38,Stormy,Snowy,Daylight,Rural,569,Roundabout,Run-off-road,Motorcycle,126,Teenager,5,Multiple-vehicle,483,3.0,69.0,6.278061608,8.523923131,630.975867,4.647466341,0.952091734,68.0,12.85022268,False,0.9855072463768116,6-10 km,6833037,13.9,127,93,261,232
Missouri,1,Wednesday,21:50:11,Snowy,Muddy,Night,Urban,504,Crossroads,Rollover,Pedestrian,128,Teenager,1,Single-vehicle,562,3.0,61.0,7.872545859,5.167871624,239.6833828,8.739327784,0.292328046,6.0,26.16275505,False,0.0983606557377049,6-10 km,6177957,17.1,396,89,245,369
Arkansas,1,Monday,08:24:39,Sunny,Muddy,Daylight,Freeway,0,T-Junction,Pedestrian involved,Pedestrian,79,Young Adult,3,Multiple-vehicle,317,2.0,47.0,9.461035384,7.467781839,723.6862828,3.669680048,0.511031988,29.0,18.54729911,False,0.6170212765957447,6-10 km,3045637,21.1,237,79,165,191
Kentucky,1,Tuesday,02:52:44,Stormy,Icy,Night,Rural,487,Roundabout,Rear-end collision,Bicycle,14,Teenager,1,Single-vehicle,408,3.0,55.0,4.13223049,6.899916175,174.1044583,8.027316983,0.653376619,17.0,20.81550616,False,0.3090909090909091,3-6 km,4512310,16.5,275,87,230,256
Arkansas,2,Tuesday,19:39:17,Rainy,Icy,Night,Rural,359,Intersection,Cyclist involved,Bicycle,6,Adult,5,Multiple-vehicle,317,0.0,65.0,5.264908456,9.313735616,614.926711,5.096764703,0.640357376,33.0,20.81550616,False,0.5076923076923077,3-6 km,3045637,21.1,237,79,165,191
West Virginia,2,Tuesday,16:21:04,Sunny,Snowy,Daylight,Highway,1,Crossroads,Side collision,Truck,6,Teenager,2,Multiple-vehicle,103,2.0,66.0,1.366440739,9.998112531,733.9162225,9.404867048,0.661019857,69.0,27.76715795,True,1.0454545454545454,0-3 km,1775156,14.9,102,93,57,85
Maine,2,Tuesday,13:05:24,Stormy,Wet,Daylight,Highway,2,Crossroads,Cyclist involved,Pedestrian,21,Senior,5,Multiple-vehicle,73,0.0,46.0,0.690196223,3.559934492,840.9216106,8.401260945,0.621394742,82.0,25.296957,True,1.7826086956521738,0-3 km,1385340,13.1,82,93,58,65
North Carolina,2,Thursday,00:43:02,Snowy,Icy,Night,Street,0,Crossroads,Run-off-road,Pedestrian,257,Senior,5,Multiple-vehicle,753,2.0,53.0,0.913729323,1.569723003,711.0070081,7.303523285,0.797760112,13.0,29.00835529,False,0.2452830188679245,0-3 km,10698973,15.2,384,91,530,512
Kansas,2,Sunday,00:43:09,Snowy,Icy,Night,Street,1,Underpass,Run-off-road,Pedestrian,32,Teenager,1,Single-vehicle,220,0.0,68.0,1.27260176,5.378540927,268.0458797,8.139643374,0.105050634,60.0,12.84772357,False,0.8823529411764706,0-3 km,2937150,14.0,116,87,114,148
Iowa,2,Monday,14:06:40,Snowy,Dry,Daylight,Freeway,2,Underpass,Head-on collision,Motorcycle,50,Teenager,3,Multiple-vehicle,164,0.0,30.0,5.362300652,8.58443038,820.2144675,6.764980563,0.861485723,43.0,21.38087716,True,1.4333333333333331,3-6 km,3200517,10.6,92,96,107,104
South Carolina,2,Saturday,03:20:59,Stormy,Wet,Night,Rural,615,T-Junction,Cyclist involved,Car,365,Teenager,3,Multiple-vehicle,491,1.0,34.0,0.386762834,4.224820582,868.6199527,3.186167332,0.77030812,26.0,13.77792564,False,0.7647058823529411,0-3 km,5282634,20.7,441,91,284,380
Mississippi,1,Thursday,18:53:21,Stormy,Muddy,Dusk,Highway,28,Overpass,Pedestrian involved,Truck,14,Adult,5,Multiple-vehicle,308,3.0,47.0,8.288379458,5.873303737,881.1776703,3.722668797,0.650146461,50.0,7.316659042,True,1.0638297872340423,6-10 km,2940057,23.9,17,79,227,200
Idaho,2,Monday,08:44:23,Rainy,Wet,Daylight,Freeway,0,T-Junction,Pedestrian involved,Bicycle,4,Teenager,2,Multiple-vehicle,102,3.0,36.0,1.401499314,7.815671457,487.3809882,3.051074734,0.100261016,40.0,7.316659042,True,1.1111111111111112,0-3 km,1939033,11.1,80,88,54,84
Iowa,2,Sunday,13:11:04,Foggy,Dry,Daylight,Urban,100,Roundabout,Run-off-road,Pedestrian,16,Young Adult,5,Multiple-vehicle,164,1.0,49.0,3.003107868,2.579318326,942.9554585,3.051074734,0.659490791,37.0,9.537220772,False,0.7551020408163265,3-6 km,3200517,10.6,92,96,107,104
North Dakota,2,Tuesday,00:28:36,Snowy,Dry,Night,Street,0,Intersection,Pedestrian involved,Motorcycle,21,Adult,3,Multiple-vehicle,55,3.0,55.0,1.070649183,6.497431226,843.6029981,7.90856734,0.570188178,100.0,7.759400646,True,1.818181818181818,0-3 km,779261,12.6,41,81,13,41
Hawaii,2,Sunday,02:34:10,Foggy,Icy,Night,Urban,101,Crossroads,Rollover,Motorcycle,33,Adult,3,Multiple-vehicle,50,3.0,54.0,7.963903474,6.472610949,594.8488451,8.596319392,0.52232557,35.0,12.41888185,False,0.6481481481481481,6-10 km,1440196,8.1,28,96,24,16
Maryland,2,Thursday,02:44:10,Rainy,Snowy,Night,Freeway,7,T-Junction,Side collision,Bicycle,10,Teenager,2,Multiple-vehicle,274,2.0,32.0,1.167136928,3.270631301,852.1994311,8.477568763,0.75567643,19.0,27.01552715,False,0.59375,0-3 km,6164660,9.1,208,93,154,150
North Carolina,2,Sunday,02:01:12,Stormy,Icy,Night,Street,0,Intersection,Cyclist involved,Truck,33,Young Adult,4,Multiple-vehicle,753,2.0,46.0,8.776817544,1.073369641,893.6060749,7.308635633,0.254641853,0.0,5.973963192,False,0.0,6-10 km,10698973,15.2,384,91,530,512
